Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,31.6,5.9,12.4,0.475,0.1,0.4,0.265,5.8,12,0.482,0.48,4.4,5,0.869,2.2,5.3,7.5,2,0.8,0.4,2.2,2.6,16.3,abdursh01
1,Shareef Abdur-Rahim,PF,27,ATL,53,53,36.9,7.2,14.9,0.485,0.1,0.4,0.217,7.1,14.5,0.493,0.488,5.5,6.3,0.88,2.7,6.7,9.3,2.4,0.8,0.4,2.5,2.8,20.1,abdursh01
1,Shareef Abdur-Rahim,PF,27,POR,32,3,22.8,3.7,8.3,0.447,0.1,0.3,0.364,3.6,7.9,0.451,0.455,2.5,3,0.832,1.5,3,4.5,1.5,0.8,0.6,1.7,2.3,10,abdursh01
2,Malik Allen,PF,25,MIA,45,6,13.7,1.8,4.4,0.419,0,0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,allenma01
3,Ray Allen*,SG,28,SEA,56,56,38.4,8,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23,allenra02
4,Rafer Alston,PG,27,MIA,82,28,31.5,3.5,9.3,0.376,2,5.3,0.371,1.5,4,0.382,0.481,1.3,1.6,0.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2,alstora01
5,Chris Andersen,PF,25,DEN,71,0,14.5,1.3,2.9,0.443,0,0,0,1.3,2.8,0.446,0.443,0.9,1.5,0.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,anderch01
6,Derek Anderson,SG,29,POR,51,46,35.5,4.5,12,0.376,1.5,5.1,0.305,3,6.9,0.428,0.44,3,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,anderde01
7,Kenny Anderson,PG,33,IND,44,31,20.6,2.6,5.8,0.441,0,0.1,0.25,2.5,5.7,0.444,0.443,0.8,1.1,0.729,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6,anderke01
8,Shandon Anderson,SG,30,NYK,80,37,24.7,3,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2,0.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,andersh01
9,Carmelo Anthony,SF,19,DEN,82,82,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3,2.7,21,anthoca01
10,Robert Archibald,C-PF,23,TOT,32,3,8,0.3,1,0.273,0,0,,0.3,1,0.273,0.273,0.4,1,0.452,0.7,1,1.6,0.4,0.4,0.1,0.3,1.6,1,archiro01
10,Robert Archibald,PF,23,PHO,1,0,6,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,1,0,0,1,1,1,archiro01
10,Robert Archibald,PF,23,ORL,1,0,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0,0,1,1,0,1,0,0,0,2,archiro01
10,Robert Archibald,C,23,TOR,30,3,8.2,0.3,1,0.267,0,0,,0.3,1,0.267,0.267,0.4,0.9,0.481,0.7,1,1.7,0.4,0.4,0.1,0.3,1.6,1,archiro01
11,Gilbert Arenas,PG,22,WAS,55,52,37.6,6.5,16.6,0.392,2.3,6.1,0.375,4.2,10.6,0.401,0.46,4.3,5.8,0.748,1,3.6,4.6,5,1.9,0.2,4.1,3.2,19.6,arenagi01
12,Brandon Armstrong,SG,23,NJN,56,0,7.8,1.2,3.1,0.371,0.3,0.9,0.365,0.8,2.2,0.374,0.426,0,0.1,0.5,0.2,0.6,0.8,0.3,0.2,0,0.4,0.9,2.7,armstbr01
